contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,underlying,fetch_time
AAPL250815C00237500,2025-08-01 19:46:01+00:00,237.5,0.07,0.06,0.08,-0.3,-81.08108,190.0,515,0.37305314453125,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00240000,2025-08-01 19:57:49+00:00,240.0,0.06,0.05,0.06,-0.22,-78.57143,5605.0,20642,0.3789124609375,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00245000,2025-08-01 19:38:10+00:00,245.0,0.03,0.03,0.04,-0.15,-83.33333,460.0,12362,0.398443515625,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00250000,2025-08-01 19:49:06+00:00,250.0,0.02,0.02,0.03,-0.11,-84.61539,1200.0,12579,0.41992767578125,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00255000,2025-08-01 19:12:58+00:00,255.0,0.02,0.01,0.03,-0.08,-79.99999,49.0,5372,0.45313046875,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00260000,2025-08-01 17:37:32+00:00,260.0,0.01,0.0,0.01,-0.07,-87.5,1085.0,14507,0.437505625,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00265000,2025-08-01 13:32:47+00:00,265.0,0.02,0.0,0.01,-0.030000001,-60.000004,5.0,2794,0.4687553125,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00270000,2025-08-01 17:05:39+00:00,270.0,0.01,0.0,0.07,-0.02,-66.66667,27.0,2918,0.5625043750000001,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00275000,2025-07-31 15:24:05+00:00,275.0,0.01,0.0,0.05,0.0,0.0,103.0,1950,0.570316796875,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00280000,2025-08-01 18:54:35+00:00,280.0,0.01,0.0,0.01,-0.01,-50.0,35.0,8632,0.51562984375,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00285000,2025-08-01 13:30:01+00:00,285.0,0.02,0.0,0.01,0.0,0.0,2.0,1000,0.5468795312500001,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00290000,2025-07-31 14:43:23+00:00,290.0,0.01,0.0,0.01,0.0,0.0,2.0,3104,0.57812921875,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00295000,2025-07-25 17:43:40+00:00,295.0,0.01,0.0,0.02,0.0,0.0,2.0,2068,0.632816171875,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00300000,2025-08-01 19:05:07+00:00,300.0,0.01,0.0,0.07,-0.01,-50.0,170.0,2870,0.7382838671874999,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00305000,2025-07-31 15:57:56+00:00,305.0,0.01,0.0,0.01,0.0,0.0,1.0,1561,0.64062859375,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00310000,2025-07-14 18:22:55+00:00,310.0,0.01,0.0,0.01,0.0,0.0,3.0,1847,0.6718782812500002,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00315000,2025-07-23 16:15:47+00:00,315.0,0.01,0.0,0.01,0.0,0.0,15.0,941,0.6875031250000001,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00320000,2025-07-30 18:42:36+00:00,320.0,0.01,0.0,0.01,0.0,0.0,1.0,1204,0.7187528125,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00325000,2025-07-02 16:01:28+00:00,325.0,0.01,0.0,0.01,0.0,0.0,2.0,164,0.73437765625,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00330000,2025-07-21 15:24:19+00:00,330.0,0.01,0.0,0.01,0.0,0.0,9.0,1306,0.7500025,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00340000,2025-07-07 13:30:00+00:00,340.0,0.02,0.0,0.01,0.0,0.0,5.0,1266,0.79687703125,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00350000,2025-07-02 15:04:36+00:00,350.0,0.01,0.0,0.01,0.0,0.0,10.0,1265,0.8437515624999999,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00360000,2025-07-08 13:31:23+00:00,360.0,0.01,0.0,0.01,0.0,0.0,10.0,203,0.87500125,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00370000,2025-06-25 15:29:30+00:00,370.0,0.01,0.0,0.01,0.0,0.0,4.0,563,0.9062509375,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00380000,2025-06-16 17:39:46+00:00,380.0,0.01,0.0,0.0,0.0,0.0,101.0,330,0.500005,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815C00390000,2025-08-01 13:47:52+00:00,390.0,0.02,0.0,0.01,0.01,100.0,1.0,6580,0.98437515625,False,REGULAR,USD,call,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00090000,2025-07-31 16:02:50+00:00,90.0,0.01,0.0,0.01,0.0,0.0,640.0,1982,1.2500037499999999,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00095000,2025-07-25 15:03:05+00:00,95.0,0.01,0.0,0.07,0.0,0.0,14.0,541,1.40625296875,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00100000,2025-08-01 16:05:33+00:00,100.0,0.01,0.0,0.01,0.0,0.0,502.0,8136,1.125004375,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00105000,2025-08-01 18:16:26+00:00,105.0,0.01,0.0,0.07,-0.01,-50.0,800.0,2152,1.2343788281249999,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00110000,2025-07-31 16:00:09+00:00,110.0,0.01,0.0,0.07,-0.01,-50.0,1.0,536,1.1484417578125,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00115000,2025-07-31 15:59:45+00:00,115.0,0.01,0.0,0.07,-0.01,-50.0,2.0,312,1.0703171484375003,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00120000,2025-08-01 18:02:22+00:00,120.0,0.01,0.0,0.07,-0.01,-50.0,1888.0,4284,0.9960937890625,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00125000,2025-08-01 18:38:07+00:00,125.0,0.01,0.01,0.02,-0.01,-50.0,375.0,1879,0.851563984375,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00130000,2025-08-01 18:38:19+00:00,130.0,0.01,0.01,0.02,-0.01,-50.0,275.0,1561,0.789064609375,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00135000,2025-08-01 18:12:51+00:00,135.0,0.02,0.01,0.03,-0.01,-33.333336,56.0,1256,0.7421900781249999,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00140000,2025-08-01 19:53:29+00:00,140.0,0.03,0.02,0.03,0.0,0.0,111.0,2234,0.6992217578125001,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00145000,2025-08-01 19:58:26+00:00,145.0,0.04,0.02,0.04,0.01,33.333336,1087.0,2937,0.648441015625,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
